year_month,discharge_mean_m3_s,flood_pixel_count,observation_days
2022-12-01,3272.4438986997166,2221216.0,31
2023-01-01,2740.279813976123,2247969.0,31
2023-02-01,3271.4491022831394,2019737.0,28
2023-03-01,4237.276906004507,1201035.0,31
2023-04-01,4964.050720224014,774415.0,30
2023-05-01,4790.822545516644,902400.0,31
2023-06-01,4666.983786789099,474483.0,30
2023-07-01,5147.373282805951,267321.0,31
2023-08-01,5038.723943002809,548087.0,31
2023-09-01,4998.097927526748,341726.0,30
2023-10-01,5030.556385699615,722044.0,31
2023-11-01,5114.6211346405,963803.0,30
2023-12-01,4786.499419113244,1840093.0,31
2024-01-01,4889.184250519689,2028250.0,31
2024-02-01,5037.342135181153,1159845.0,29
2024-03-01,5036.61269656377,932297.0,31
2024-04-01,5073.496472402328,618394.0,30
2024-05-01,5190.248406613473,409993.0,31
2024-06-01,5268.778504730874,186696.0,30
2024-07-01,5321.799056260759,188608.0,31
2024-08-01,5400.252148605707,152124.0,31
2024-09-01,5380.486878304566,400038.0,30
2024-10-01,4887.162890693475,699546.0,31
2024-11-01,4501.748627380625,1308172.0,30
2024-12-01,4285.270338540554,1933817.0,31
2025-01-01,4349.397404283143,2095339.0,31
2025-02-01,4630.263679692701,1413126.0,28
2025-03-01,4775.396566729719,1047391.0,31
2025-04-01,5065.4477398795225,448843.0,30
2025-05-01,5220.238643564951,446135.0,31
2025-06-01,5063.304580329563,322187.0,30
2025-07-01,5041.667332110913,178121.0,31
2025-08-01,5431.200883042399,93993.0,31
2025-09-01,5145.75455251985,127457.0,30
2025-10-01,4618.66103165095,423540.0,31
2025-11-01,3811.3562157306615,1144216.0,30
2025-12-01,4506.019470921601,1406232.0,31
