model,lead,fold,test_years,group,n_cells,n_flooded,base_rate,precision,recall,f1,csi,pr_auc,brier,threshold
climatology,1,6,2020-2021,recurring,383832,84963,0.2213546551616332,0.4930450137860528,0.3746336640655344,0.4257595922980718,0.2704539854364395,0.4553515505166032,0.1638569071548982,0.18
persistence,1,7,2022-2023,all,59601600,2910067,0.0488253167700196,0.7876574288147968,0.7829665090185208,0.785304963825241,0.646503805842719,0.6273061162884994,0.0209026771093393,0.5
climatology,1,7,2022-2023,all,59601600,2910067,0.0488253167700196,0.1127066465638055,0.0233245488849569,0.0386504239526031,0.0197060352854045,0.0558190465343326,0.0484838740082556,0.055
persistence,1,7,2022-2023,unusual,59217768,2835830,0.0478881608641514,0.7905397253468649,0.785597162030164,0.7880606940658975,0.6502476569637285,0.6313131222990325,0.0202353118070914,0.5
climatology,1,7,2022-2023,unusual,59217768,2835830,0.0478881608641514,0.0388494111193019,0.0063928373703642,0.0109790284749815,0.0055198153424011,0.0478646876379224,0.0478608876600212,0.055
persistence,1,7,2022-2023,recurring,383832,74237,0.1934101377686071,0.6788279114636369,0.6824763931732155,0.6806472631034507,0.5158948354512871,0.5246963091421631,0.1238640863711207,0.5
climatology,1,7,2022-2023,recurring,383832,74237,0.1934101377686071,0.3668982505826474,0.6701105917534383,0.4741760991302275,0.3107672509651545,0.4179519219911088,0.1445984789315456,0.055
persistence,1,8,2024-2025,all,59601600,2645133,0.0443802347587984,0.7923677272608315,0.7897939347473265,0.7910787375366218,0.6543674613884013,0.6351362196037655,0.0185138318434404,0.5
climatology,1,8,2024-2025,all,59601600,2645133,0.0443802347587984,0.0638376753845755,0.0856667698750875,0.0731585932048064,0.0379681446261252,0.0511090175355304,0.0440710000099122,0.005
persistence,1,8,2024-2025,unusual,59217768,2585140,0.0436548030651881,0.7943198651002897,0.7915532621057273,0.7929341503922673,0.6569104333868379,0.637846181667871,0.018047353625351,0.5
climatology,1,8,2024-2025,unusual,59217768,2585140,0.0436548030651881,0.0524738142993779,0.0677843366316717,0.0591544550665214,0.0304787030688466,0.0441673435912733,0.0435839198199135,0.005
persistence,1,8,2024-2025,recurring,383832,59993,0.1563001521498989,0.709113483983114,0.7139832980514393,0.7115400588049636,0.5522407302356763,0.5509996380189826,0.0904822943371058,0.5
