start_date,end_date,county,phase3plus_population,source_folder
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Juba,235665.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Juba,345460.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Juba,270000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Juba,325538.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Jur River,84967.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Jur River,127694.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Jur River,110576.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Jur River,73000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Jur River,45233.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Kajo-keji,139595.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Kajo-keji,93238.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Kajo-keji,47835.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Kajo-keji,120000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Kajo-keji,111543.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Kapoeta east,101793.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Kapoeta east,93487.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Kapoeta east,127645.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Kapoeta east,96000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Kapoeta east,73444.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Kapoeta north,86425.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Kapoeta north,78717.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Kapoeta north,46429.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Kapoeta north,81000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Kapoeta north,66813.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Kapoeta south,46005.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Kapoeta south,46091.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Kapoeta south,16956.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Kapoeta south,43000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Kapoeta south,35332.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Koch,78930.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Koch,64252.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Koch,33287.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Koch,71000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Koch,64286.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Lafon,70584.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Lafon,70717.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Lafon,46866.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Lafon,56000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Lafon,75205.0,raw_data/IPC
